
1.0, 2, 2, 2, 1, 2, 
1.1, 2, 215, 2, 125, 2, 
1.2, 156, 2, 255, 2, 2, 
1.3, 2, 2, 2, 2, 2, 
1.4, 258, 2, 2, 2, 2, 
1.5, 2, 2, 2, 2, 3, 
1.6, 3, 3, 3, 2, 2, 
1.7, 3, 3, 3, 5, 4, 
1.8, 4, 4, 4, 4, 4, 
1.9, 5, 5, 4, 6, 15, 
2.0, 5, 11, 13, 8, 21, 
2.1, 15, 10, 10, 143, 10, 
2.2, 52, 15, 26, 11, 13, 
2.29, 98, 76, 75, 114, 110, 
2.4, 65, 81, 253, 101, 138, 
2.5, 37, 88, 101, 59, 80, 
2.6, 37, 42, 106, 16, 29, 
2.7, 23, 37, 41, 19, 16, 
2.8, 18, 18, 13, 21, 19, 
2.9, 13, 12, 13, 45, 20, 
3.0, 13, 13, 12, 10, 19, 
